firstName,lastName,email,username,password,role
Augusta,Leeder,aleeder0@weebly.com,aleeder0,password,user
Travis,Bowers,tbowers1@1und1.de,tbowers1,password,user
Jackquelin,Gawkroge,jgawkroge2@reference.com,jgawkroge2,password,admin
Noelyn,Dingle,ndingle3@reuters.com,ndingle3,password,user
Paolo,Pettegre,ppettegre4@wikipedia.org,ppettegre4,password,user
Carlota,Lohan,clohan5@google.pl,clohan5,password,user
Karleen,Snartt,ksnartt6@bravesites.com,ksnartt6,password,admin
Iolanthe,Burch,iburch7@spotify.com,iburch7,password,user
Nalani,Copas,ncopas8@newsvine.com,ncopas8,password,user
Tonya,Klessmann,tklessmann9@vistaprint.com,tklessmann9,password,admin
